target_idx,target,bucket,nonzero_rate,mean_y_true,total_y_true
128,J01DB04,sparse,0.1054072553045859,0.1327857631759069,194.0
129,J01DB09,sparse,0.6201232032854209,1.056125941136208,1543.0
130,J01DC04,sparse,0.3894592744695414,0.5845311430527036,854.0
131,J01DD04,dense,0.8631074606433949,2.160848733744011,3157.0
132,J01DD08,dense,0.8480492813141683,2.1245722108145104,3104.0
133,J01DE01,ultra,0.0034223134839151265,0.0034223134839151265,5.0
134,J01DH02,dense,0.9945242984257358,6.106091718001369,8921.0
135,J01DH03,sparse,0.03216974674880219,0.03216974674880219,47.0
136,J01EE01,sparse,0.2676249144421629,0.31485284052019163,460.0
137,J01FA09,sparse,0.04106776180698152,0.044490075290896644,65.0
138,J01GB06,sparse,0.3490759753593429,0.6885694729637235,1006.0
139,J01MA02,dense,0.8952772073921971,2.6899383983572895,3930.0
140,J01MA12,ultra,0.0027378507871321013,0.0027378507871321013,4.0
141,J01MA14,sparse,0.49691991786447637,0.7234770704996578,1057.0
142,J01XA01,dense,0.8234086242299795,2.0561259411362083,3004.0
143,J01XA02,sparse,0.11704312114989733,0.1697467488021903,248.0
144,J01XB01,sparse,0.030800821355236138,0.030800821355236138,45.0
145,J01XD01,sparse,0.18275154004106775,0.20191649555099248,295.0
146,J01XX01,sparse,0.024640657084188913,0.024640657084188913,36.0
147,J02AC01,sparse,0.4647501711156742,0.7713894592744696,1127.0
148,J04AB02,sparse,0.3470225872689938,0.37097878165639975,542.0
149,J04AC01,sparse,0.3470225872689938,0.37097878165639975,542.0
150,J04AK01,sparse,0.10882956878850103,0.10882956878850103,159.0
151,J04AK02,sparse,0.13415468856947296,0.13415468856947296,196.0
152,J05AB09,sparse,0.11293634496919917,0.12251882272416154,179.0
153,J05AF10,sparse,0.5126625598904859,0.5215605749486653,762.0
154,L02AB01,ultra,0.004791238877481177,0.004791238877481177,7.0
155,L02AE02,sparse,0.015058179329226557,0.015058179329226557,22.0
156,L02BB03,sparse,0.01574264202600958,0.01574264202600958,23.0
157,L03AX,sparse,0.2792607802874743,0.36413415468856947,532.0
158,M01AB05,sparse,0.01026694045174538,0.01026694045174538,15.0
159,M01AB15,sparse,0.07529089664613278,0.07802874743326489,114.0
160,M01AB16,dense,0.8548939082819986,3.427104722792608,5007.0
161,M01AE01,sparse,0.4976043805612594,1.0342231348391513,1511.0
162,M01AH01,dense,1.0,20.58590006844627,30076.0
163,M03BX01,dense,1.0,4.96167008898015,7249.0
164,M03BX02,sparse,0.6344969199178645,0.6502395619438741,950.0
165,M03BX09,dense,0.9561943874058864,3.189596167008898,4660.0
166,M03CA01,sparse,0.01163586584531143,0.01163586584531143,17.0
167,M04AA01,sparse,0.3730321697467488,0.7871321013004792,1150.0
