fold_id,t_end,date,mse_s1,mse_s2,skill_s1,skill_s2,delta_mse_s2_minus_s1,s1_cat500,s2_cat500,both_cat500,only_s1_cat500,only_s2_cat500,dist_to_day_after_holiday
119,2396,2024-07-25,63.23660659790039,38.85268020629883,-0.245639741634023,0.2346767934323301,-24.383926391601562,False,False,False,False,False,22
120,2410,2024-08-08,53.97172546386719,51.52827453613281,0.099533256077294,0.1402999034638946,-2.443450927734375,False,False,False,False,False,8
121,2424,2024-08-22,48.431549072265625,35.99256134033203,-0.1651452343085366,0.1341065458453287,-12.438987731933594,False,False,False,False,False,6
122,2438,2024-09-05,30.375,26.14583396911621,0.0372606080742622,0.171304549898988,-4.229166030883789,False,False,False,False,False,12
123,2452,2024-09-19,70.94493865966797,60.62202453613281,0.0150200806190645,0.1583405670874866,-10.322914123535156,False,False,False,False,False,0
124,2466,2024-10-03,41.68303680419922,28.199405670166016,-0.1161095460571877,0.2449296338590961,-13.483631134033203,False,False,False,False,False,1
125,2480,2024-10-17,39.50446319580078,41.650299072265625,0.0525019561400106,0.0010349792235606,2.1458358764648438,False,False,False,False,False,7
126,2494,2024-10-31,43.69643020629883,44.93303680419922,0.0082744822009414,-0.0197912960062613,1.2366065979003906,False,False,False,False,False,21
127,2508,2024-11-14,39.01785659790039,34.150299072265625,0.0474114194247362,0.1662487959110289,-4.867557525634766,False,False,False,False,False,35
128,2522,2024-11-28,51.3586311340332,34.6413688659668,-0.1852806015568731,0.2005288766156756,-16.717262268066406,False,False,False,False,False,28
129,2536,2024-12-12,34.97172546386719,26.47916603088379,-0.0497141336552831,0.2051992156137114,-8.492559432983398,False,False,False,False,False,14
